date,code,adjusted_close,momentum_20d,factor_rank,future_return_5d
2026-01-05,A,100,,,0.050000000000000044
2026-01-06,A,101,,,0.04950495049504955
2026-01-07,A,102,,,0.0490196078431373
2026-01-08,A,103,,,0.04854368932038833
2026-01-09,A,104,,,0.04807692307692313
2026-01-12,A,105,,,0.04761904761904767
2026-01-13,A,106,,,0.04716981132075482
2026-01-14,A,107,,,0.04672897196261672
2026-01-15,A,108,,,0.04629629629629628
2026-01-16,A,109,,,0.04587155963302747
2026-01-19,A,110,,,0.045454545454545414
2026-01-20,A,111,,,0.04504504504504503
2026-01-21,A,112,,,0.044642857142857206
2026-01-22,A,113,,,0.04424778761061954
2026-01-23,A,114,,,0.04385964912280693
2026-01-26,A,115,,,0.04347826086956519
2026-01-27,A,116,,,0.0431034482758621
2026-01-28,A,117,,,0.042735042735042805
2026-01-29,A,118,,,0.04237288135593231
2026-01-30,A,119,,,0.04201680672268915
2026-02-02,A,120,0.19999999999999996,2.0,0.04166666666666674
2026-02-03,A,121,0.19801980198019797,2.0,0.04132231404958686
2026-02-04,A,122,0.196078431372549,2.0,0.040983606557376984
2026-02-05,A,123,0.1941747572815533,2.0,0.04065040650406515
2026-02-06,A,124,0.1923076923076923,2.0,0.040322580645161255
2026-02-09,A,125,0.19047619047619047,2.0,0.040000000000000036
2026-02-10,A,126,0.18867924528301883,2.0,
2026-02-11,A,127,0.1869158878504673,2.0,
2026-02-12,A,128,0.18518518518518512,2.0,
2026-02-13,A,129,0.1834862385321101,2.0,
2026-02-16,A,130,0.18181818181818188,2.0,
2026-01-05,B,100,,,0.10000000000000009
2026-01-06,B,102,,,0.0980392156862746
2026-01-07,B,104,,,0.09615384615384626
2026-01-08,B,106,,,0.09433962264150941
2026-01-09,B,108,,,0.09259259259259256
2026-01-12,B,110,,,0.09090909090909083
2026-01-13,B,112,,,0.08928571428571419
2026-01-14,B,114,,,0.08771929824561409
2026-01-15,B,116,,,0.0862068965517242
2026-01-16,B,118,,,0.0847457627118644
2026-01-19,B,120,,,0.08333333333333326
2026-01-20,B,122,,,0.08196721311475419
2026-01-21,B,124,,,0.08064516129032251
2026-01-22,B,126,,,0.0793650793650793
2026-01-23,B,128,,,0.078125
2026-01-26,B,130,,,0.07692307692307687
2026-01-27,B,132,,,0.07575757575757569
2026-01-28,B,134,,,0.07462686567164178
2026-01-29,B,136,,,0.07352941176470584
2026-01-30,B,138,,,0.07246376811594213
2026-02-02,B,140,0.3999999999999999,1.0,0.0714285714285714
2026-02-03,B,142,0.392156862745098,1.0,0.07042253521126751
2026-02-04,B,144,0.3846153846153846,1.0,0.06944444444444442
2026-02-05,B,146,0.37735849056603765,1.0,0.06849315068493156
2026-02-06,B,148,0.37037037037037046,1.0,0.06756756756756754
2026-02-09,B,150,0.36363636363636354,1.0,0.06666666666666665
2026-02-10,B,152,0.3571428571428572,1.0,
2026-02-11,B,154,0.3508771929824561,1.0,
2026-02-12,B,156,0.3448275862068966,1.0,
2026-02-13,B,158,0.3389830508474576,1.0,
2026-02-16,B,160,0.33333333333333326,1.0,
2026-01-05,C,100,,,-0.050000000000000044
2026-01-06,C,99,,,-0.0505050505050505
2026-01-07,C,98,,,-0.05102040816326525
2026-01-08,C,97,,,-0.05154639175257736
2026-01-09,C,96,,,-0.05208333333333337
2026-01-12,C,95,,,-0.052631578947368474
2026-01-13,C,94,,,-0.05319148936170215
2026-01-14,C,93,,,-0.053763440860215006
2026-01-15,C,92,,,-0.05434782608695654
2026-01-16,C,91,,,-0.05494505494505497
2026-01-19,C,90,,,-0.05555555555555558
2026-01-20,C,89,,,-0.0561797752808989
2026-01-21,C,88,,,-0.05681818181818177
2026-01-22,C,87,,,-0.05747126436781613
2026-01-23,C,86,,,-0.05813953488372092
2026-01-26,C,85,,,-0.05882352941176472
2026-01-27,C,84,,,-0.059523809523809534
2026-01-28,C,83,,,-0.06024096385542166
2026-01-29,C,82,,,-0.060975609756097615
2026-01-30,C,81,,,-0.06172839506172845
2026-02-02,C,80,-0.19999999999999996,3.0,-0.0625
2026-02-03,C,79,-0.202020202020202,3.0,-0.06329113924050633
2026-02-04,C,78,-0.20408163265306123,3.0,-0.0641025641025641
2026-02-05,C,77,-0.20618556701030932,3.0,-0.06493506493506496
2026-02-06,C,76,-0.20833333333333337,3.0,-0.06578947368421051
2026-02-09,C,75,-0.21052631578947367,3.0,-0.06666666666666665
2026-02-10,C,74,-0.21276595744680848,3.0,
2026-02-11,C,73,-0.21505376344086025,3.0,
2026-02-12,C,72,-0.21739130434782605,3.0,
2026-02-13,C,71,-0.21978021978021978,3.0,
2026-02-16,C,70,-0.2222222222222222,3.0,
