date,open,close,signal,leaky_position,correct_position,leaky_return,correct_return,leaky_equity,correct_equity
2026-08-03,10.0,10.0,0,0,0,0.0,0.0,1.0,1.0
2026-08-04,10.0,10.1,0,0,0,0.0,0.0,1.0,1.0
2026-08-05,10.1,10.2,0,0,0,0.0,0.0,1.0,1.0
2026-08-06,10.2,10.3,0,0,0,0.0,0.0,1.0,1.0
2026-08-07,10.3,10.4,0,0,0,0.0,0.0,1.0,1.0
2026-08-10,10.4,10.5,0,0,0,0.0,0.0,1.0,1.0
2026-08-11,10.5,10.6,0,0,0,0.0,0.0,1.0,1.0
2026-08-12,10.6,10.7,0,0,0,0.0,0.0,1.0,1.0
2026-08-13,10.7,10.8,0,0,0,0.0,0.0,1.0,1.0
2026-08-14,10.8,10.9,0,0,0,0.0,0.0,1.0,1.0
2026-08-17,10.9,11.0,0,0,0,0.0,0.0,1.0,1.0
2026-08-18,11.0,11.1,0,0,0,0.0,0.0,1.0,1.0
2026-08-19,11.1,11.2,0,0,0,0.0,0.0,1.0,1.0
2026-08-20,11.2,11.3,0,0,0,0.0,0.0,1.0,1.0
2026-08-21,11.3,11.4,0,0,0,0.0,0.0,1.0,1.0
2026-08-24,11.4,11.5,0,0,0,0.0,0.0,1.0,1.0
2026-08-25,11.5,11.6,0,0,0,0.0,0.0,1.0,1.0
2026-08-26,11.6,11.7,0,0,0,0.0,0.0,1.0,1.0
2026-08-27,11.7,11.8,0,0,0,0.0,0.0,1.0,1.0
2026-08-28,11.8,11.9,1,1,0,0.008474576271186418,0.0,1.0084745762711864,1.0
2026-08-31,11.9,12.0,1,1,1,0.008403361344537785,0.008403361344537785,1.0169491525423728,1.0084033613445378
2026-09-01,12.0,12.1,1,1,1,0.008333333333333304,0.008333333333333304,1.0254237288135593,1.0168067226890756
2026-09-02,12.1,12.2,1,1,1,0.008264462809917328,0.008264462809917328,1.0338983050847457,1.0252100840336134
2026-09-03,12.2,12.3,1,1,1,0.00819672131147553,0.00819672131147553,1.0423728813559323,1.0336134453781514
2026-09-04,12.3,12.4,1,1,1,0.008130081300812941,0.008130081300812941,1.0508474576271187,1.0420168067226891
