date,code,adjusted_close,momentum_20d
2026-01-05,000001,100,
2026-01-06,000001,101,
2026-01-07,000001,102,
2026-01-08,000001,103,
2026-01-09,000001,104,
2026-01-12,000001,105,
2026-01-13,000001,106,
2026-01-14,000001,107,
2026-01-15,000001,108,
2026-01-16,000001,109,
2026-01-19,000001,110,
2026-01-20,000001,111,
2026-01-21,000001,112,
2026-01-22,000001,113,
2026-01-23,000001,114,
2026-01-26,000001,115,
2026-01-27,000001,116,
2026-01-28,000001,117,
2026-01-29,000001,118,
2026-01-30,000001,119,
2026-02-02,000001,120,0.19999999999999996
2026-02-03,000001,121,0.19801980198019797
2026-02-04,000001,122,0.196078431372549
2026-02-05,000001,123,0.1941747572815533
2026-02-06,000001,124,0.1923076923076923
2026-01-05,000002,100,
2026-01-06,000002,99,
2026-01-07,000002,98,
2026-01-08,000002,97,
2026-01-09,000002,96,
2026-01-12,000002,95,
2026-01-13,000002,94,
2026-01-14,000002,93,
2026-01-15,000002,92,
2026-01-16,000002,91,
2026-01-19,000002,90,
2026-01-20,000002,89,
2026-01-21,000002,88,
2026-01-22,000002,87,
2026-01-23,000002,86,
2026-01-26,000002,85,
2026-01-27,000002,84,
2026-01-28,000002,83,
2026-01-29,000002,82,
2026-01-30,000002,81,
2026-02-02,000002,80,-0.19999999999999996
2026-02-03,000002,79,-0.202020202020202
2026-02-04,000002,78,-0.20408163265306123
2026-02-05,000002,77,-0.20618556701030932
2026-02-06,000002,76,-0.20833333333333337
